,subject,session,scan,site,bg_mean,bg_size,bg_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,ghost_x,ghost_y,ghost_z,snr
1143,25390,session_1,rest_1,LMU_2,77.9415948488,107512,111.5933058461,0.5650756908,62.1089902931,1041.2442733189,39944,257.9056939349,2.0415465371,1.9963331747,2.3265198151,1.8320590512,0.00758784,0.0500248,,9.3307055062
1144,25390,session_1,rest_2,LMU_2,78.9530895988,106197,109.2487161586,0.5806254744,54.4546427687,967.9896576326,41259,228.8052259841,1.9370495229,1.89138,2.1805,1.762331971,-0.000808923,0.0516086,,8.8604213548
1145,25390,session_1,rest_3,LMU_2,78.5442716669,106771,107.7888319665,0.5740230747,59.6289461541,1000.6491971111,40685,243.5805632,2.0008399286,1.9717166667,2.2684368469,1.7908728825,-0.00142719,0.0454739,,9.283421843
1146,25391,session_1,rest_4,LMU_2,57.0731097423,118343,89.5615975841,0.4986979372,78.2212786253,916.7498287845,29113,204.2883369386,1.8284859497,1.81391,2.12801,1.5837499657,-0.0129836,0.0439974,,10.2359700308
1147,25391,session_1,rest_1,LMU_2,61.0601713835,117788,88.7568067332,0.5130399172,72.2851222879,895.4179706044,29668,192.8248344424,1.8229791511,1.7923066667,2.10425,1.6063363288,-0.0171157,0.0377275,,10.0884428312
1148,25391,session_1,rest_2,LMU_2,60.4060938641,117630,92.3002428857,0.5068156339,75.522099638,936.991403781,29826,202.1125543551,1.7698680303,1.7308798624,2.0668065024,1.5497251344,-0.0163667,0.042731,,10.1515594595
1149,25391,session_1,rest_3,LMU_2,58.9267998266,117888,86.7402238501,0.510217079,74.1963675388,883.1495881961,29568,189.7808715507,1.7514232874,1.7250934704,2.0306066667,1.5336842239,-0.0148496,0.0409774,,10.1815461039
1150,25392,session_1,rest_4,LMU_2,59.4570611207,114762,89.7944977443,0.5229183821,73.6423770493,903.4112416406,32694,194.8258488588,1.7303405415,1.7311533333,1.9391433333,1.5432954211,-0.00638365,0.0432667,,10.0608752689
1151,25392,session_1,rest_1,LMU_2,59.2405612418,115770,88.8134522253,0.5155342675,77.4850532648,916.8065108958,31686,206.4635446734,1.8347292678,1.8365966667,2.09803,1.6028365026,-0.00824451,0.04065,,10.3228338492
1152,25392,session_1,rest_2,LMU_2,57.5657732049,115174,85.070393379,0.5189759923,79.1356085111,891.8397423107,32282,199.0304863425,1.8127080666,1.8135801441,2.04366,1.607086503,-0.00603005,0.0434589,,10.4835502328
1153,25392,session_1,rest_3,LMU_2,58.5802608232,115339,86.5309416172,0.5163595207,82.3307690139,925.1673509268,32117,207.7631803922,1.8315812682,1.8357434792,2.0630334973,1.6224090557,-0.0100552,0.0430976,,10.6917518016
1154,25393,session_1,rest_4,LMU_2,74.6530637574,111580,103.3401991058,0.5641276753,49.1549450215,874.1217687322,35876,186.6786380908,1.7123033559,1.6689833333,1.9460033333,1.5457726938,0.00108181,0.0588883,,8.4586809034
1155,25393,session_1,rest_1,LMU_2,82.2289698549,112025,111.1076833084,0.5633179143,48.4857103512,937.0462377096,35431,219.8647008771,1.8977272667,1.8694733333,2.17964,1.6772499636,-0.000601982,0.0549789,,8.4336763202
1156,25393,session_1,rest_2,LMU_2,72.598046916,112493,99.9159779013,0.5548810783,54.1387982185,885.6328462248,34963,203.5371724699,1.8683508289,1.84556,2.1333864971,1.6564452391,0.00773536,0.0625751,,8.8637759929
1157,25393,session_1,rest_3,LMU_2,74.104030678,111948,100.0822962113,0.5591797886,53.932140463,891.1794572681,35508,205.2671288184,1.8924202333,1.8428733333,2.151510171,1.7092842391,0.00173055,0.0585666,,8.9044665341
1158,25394,session_1,rest_4,LMU_2,68.5165973629,110690,99.2290886719,0.5595776175,54.2151193383,867.8897186021,36766,187.2701976318,1.6447608414,1.6283333333,1.8424734798,1.4830772406,0.00579401,0.049052,,8.7463235853
1159,25394,session_1,rest_1,LMU_2,72.620784908,110736,102.5533801999,0.5620653435,51.9875796683,883.4697131819,36720,201.2059614779,1.7769943029,1.76201,2.0050833333,1.5882476928,0.00202591,0.0457681,,8.6147303137
1160,25394,session_1,rest_2,LMU_2,69.1983630379,111165,97.5818544506,0.5588048775,54.4678901008,861.3365151457,36291,193.7581562179,1.7431349732,1.7429231948,1.96689,1.5450204211,0.0056842,0.0450721,,8.8268102712
1161,25394,session_1,rest_3,LMU_2,68.4034814861,110663,97.5911321762,0.5598992675,54.7184684873,860.276527949,36793,192.4592241124,1.742741962,1.7290466667,1.9593934891,1.5623226934,0.00610924,0.0467822,,8.8151096187
1162,25395,session_1,rest_4,LMU_2,56.7480189478,110252,80.8406986691,0.5391505168,92.0465623747,924.6832354708,37204,207.1665304845,1.8503253787,1.7954866667,2.1036331662,1.6772295091,-0.00785614,0.0564673,,11.4383379992
1163,25395,session_1,rest_1,LMU_2,62.6040399172,109503,83.253007992,0.5541322711,81.2411290482,917.9584457945,37953,196.9642216295,1.7920096438,1.7237265297,2.0278131722,1.6463567825,-0.0134075,0.0517447,,11.0261294809
1164,25395,session_1,rest_2,LMU_2,59.6157508176,108800,83.4417257472,0.5526320923,84.2003585561,921.68746665,38656,189.4953563224,1.6761059984,1.62061,1.9035701513,1.526361496,-0.0131563,0.0550301,,11.0458821219
1165,25395,session_1,rest_3,LMU_2,59.1190588552,110477,80.5871223795,0.5433461238,88.6173042425,918.4922902228,36979,203.9061527279,1.8490873025,1.782546525,2.1122133333,1.6791613272,-0.00888875,0.052409,,11.397506985
1166,25396,session_1,rest_4,LMU_2,56.9318853989,114922,84.2074695645,0.5147968924,88.9941513628,934.9733573462,32534,212.8656217714,1.9115661418,1.9103166667,2.1319733333,1.7150635992,-0.00355963,0.0500496,,11.1032116531
1167,25396,session_1,rest_1,LMU_2,55.9021667109,114483,82.9793343868,0.51654922,90.7765415204,930.9504681155,32973,205.0815997844,1.8846395838,1.8608433333,2.1286766667,1.6899137829,-0.00537944,0.0484023,,11.2190640597
1168,25396,session_1,rest_2,LMU_2,57.0846891248,114207,83.7817652693,0.5193467365,89.2401051309,934.9878754651,33249,207.4675999626,1.856542164,1.85194,2.07259,1.6671454184,-0.00640815,0.04694,,11.1598015685
1169,25396,session_1,rest_3,LMU_2,54.1645428064,114682,73.9637817644,0.5194036837,96.7618931007,879.6150065436,32774,198.7631769987,1.882961433,1.8596,2.1058333333,1.7048296933,-0.0040352,0.0461062,,11.8925098955
1170,25397,session_1,rest_4,LMU_2,68.6403995717,111134,92.3870383518,0.5546942104,65.6853353832,910.110521421,36322,204.5075345375,1.8828498158,1.8676666667,2.1602333333,1.6544272369,-0.0122818,0.059674,,9.851062851
1171,25397,session_1,rest_1,LMU_2,68.8419928987,111118,92.867234172,0.5535865718,67.2011099883,924.9953684529,36338,206.0021358373,1.8825887049,1.85916,2.1607266667,1.6609204185,-0.0142553,0.0587736,,9.9604061292
1172,25397,session_1,rest_2,LMU_2,67.3776086069,111161,87.3922306886,0.5558873765,68.4355400175,890.2064945231,36295,202.19084358,1.8918742762,1.8661833333,2.1441133333,1.692286327,-0.0112592,0.0616699,,10.1863345003
1173,25397,session_1,rest_3,LMU_2,67.23643847,111388,87.8944333801,0.5546015243,68.0327339621,890.2695224745,36068,201.3829461762,1.8743711788,1.8565134809,2.12371,1.6702158729,-0.00916786,0.0629786,,10.1288498968
1174,25398,session_1,rest_4,LMU_2,64.1573892239,110135,84.8180061353,0.5545886498,74.084991963,892.1904908232,37321,204.6686067571,1.8903194787,1.8497334803,2.1400701701,1.7063476903,-0.00809035,0.0481628,,10.5188807362
1175,25398,session_1,rest_1,LMU_2,66.216941245,110530,85.8054880003,0.5561174089,70.7086882647,887.1883106923,36926,208.5637389284,1.9450267428,1.88684,2.2178901763,1.7583387888,-0.0101974,0.0448849,,10.3395287571
1176,25398,session_1,rest_2,LMU_2,64.1146877989,110789,84.7265194572,0.5525925071,71.7196592743,875.871899498,36667,206.1915192527,1.9623008605,1.92251,2.2322466667,1.7606976891,-0.00806231,0.0435839,,10.3376357852
1177,25398,session_1,rest_3,LMU_2,62.5033826611,110412,86.3864905422,0.5490820291,75.8434930148,905.8958707684,37044,203.9822532552,1.8727193015,1.83185,2.1327966667,1.6810431454,-0.00129674,0.04934,,10.4865455823
1178,25399,session_1,rest_4,LMU_2,57.7713869183,116154,87.8777010662,0.5171952446,72.1244783056,871.7405512028,31302,194.1716183308,1.9201622631,1.8832398503,2.1703331609,1.7321385988,-0.0168869,0.0561613,,9.9199289538
1179,25399,session_1,rest_1,LMU_2,60.5705371636,116282,91.9646738984,0.5161388371,72.7448544359,916.7967861074,31174,203.8803841365,1.9230931591,1.89647,2.1857998263,1.7157115124,-0.0166425,0.0510268,,9.969010352
1180,25399,session_1,rest_2,LMU_2,58.893417668,116342,90.6297872033,0.5154403528,71.8244753418,894.6500235194,31114,196.4327077634,1.9020018567,1.8568065191,2.1496601708,1.7238431445,-0.016452,0.0512663,,9.8714788055
1181,25399,session_1,rest_3,LMU_2,54.5036846775,116152,86.455113138,0.5110325026,76.5884614785,873.8230412542,31304,190.7103533933,1.8691693675,1.8528733333,2.1012731663,1.6773295091,-0.0126138,0.0584385,,10.1072453616
1182,25400,session_1,rest_4,LMU_2,69.5395376416,111136,97.2391149826,0.5531838282,61.0247849589,908.1924436574,36320,217.5307682366,1.935453384,1.9313733333,2.20222,1.7045952329,-0.00284661,0.0541262,,9.3397851659
1183,25400,session_1,rest_1,LMU_2,77.0677296329,110387,105.9261034286,0.5654760839,52.6024904811,925.0672878092,37069,216.5193864123,1.9127222046,1.8958901507,2.1810664933,1.6922865104,-0.00394702,0.0492983,,8.7331380827
1184,25400,session_1,rest_2,LMU_2,73.0964036512,110909,101.3837287564,0.5594080581,55.7152011226,908.0978227923,36547,213.9076128648,1.9256015836,1.91173,2.19491,1.7015976904,-0.00297804,0.0486555,,8.9570371294
1185,25400,session_1,rest_3,LMU_2,70.8356336142,110508,102.0640964892,0.5570505733,57.9013049951,921.9344509798,36948,209.1168868047,1.8492251925,1.824259855,2.1014433333,1.649552237,-0.00177789,0.0570186,,9.032896804
1186,25401,session_1,rest_4,LMU_2,59.1438274759,118548,84.8705244231,0.5064668458,78.6465481074,895.1082575138,28908,201.1294692839,1.854714388,1.83446,2.10846,1.6495181461,-0.00343372,0.0409438,,10.5467506369
1187,25401,session_1,rest_1,LMU_2,61.6610950637,118636,91.7740629402,0.5055845386,73.2588659279,923.198997847,28820,207.9677532975,1.8678726147,1.8674133333,2.1033164995,1.6591954186,-0.00540227,0.0374368,,10.0594761556
1188,25401,session_1,rest_2,LMU_2,60.5365963956,119454,86.4566336958,0.5019657754,78.2049199806,908.6515508597,28002,213.4543384605,1.9305160186,1.91854,2.1755268396,1.723795604,-0.00718104,0.0357069,,10.5099112933
