,Unnamed: 0,subject,session,scan,site,dvars,mean_fd,num_fd,outlier,perc_fd,quality,gcor
157,157,25002,session_1,rest_1,NYU_2,0.9225696075,0.0618888395,0,0.0058811111,0,0.0087360887,0.5098479488
159,159,25002,session_2,rest_1,NYU_2,0.9692590361,0.0392731313,0,0.0061381667,0,0.0102639243,0.5505968883
160,160,25003,session_1,rest_1,NYU_2,1.1150140135,0.2580903624,8,0.0194788889,4.4198895028,0.0210431553,0.3925755015
163,163,25003,session_2,rest_2,NYU_2,1.0131358021,0.0947980038,1,0.0070561667,0.5524861878,0.0115588264,0.4993069413
161,161,25003,session_1,rest_2,NYU_2,0.9887469162,0.0907328965,2,0.0088667222,1.1049723757,0.0118147645,0.5010027665
162,162,25003,session_2,rest_1,NYU_2,1.0722018146,0.0910169624,1,0.0068012222,0.5524861878,0.010995945,0.5139147425
164,164,25004,session_1,rest_1,NYU_2,1.0509800513,0.0464067222,0,0.0061826667,0,0.0115573366,0.4754011003
166,166,25004,session_2,rest_1,NYU_2,1.0449331422,0.0531607068,0,0.0060189444,0,0.008916783,0.4956550324
165,165,25004,session_1,rest_2,NYU_2,1.1093475592,0.0495671283,0,0.0062383333,0,0.0098825513,0.5010252542
167,167,25004,session_2,rest_2,NYU_2,1.1081047809,0.0472888688,0,0.0062211111,0,0.0085055129,0.5026841932
168,168,25005,session_1,rest_1,NYU_2,1.0200182831,0.1215106444,5,0.0111925556,2.7624309392,0.0133774539,0.4606677409
170,170,25005,session_2,rest_1,NYU_2,1.1018551672,0.0532029898,0,0.0061132222,0,0.0126926113,0.5031663451
169,169,25005,session_1,rest_2,NYU_2,0.9791119511,0.0523536526,0,0.0060871111,0,0.0109749942,0.5152432813
171,171,25005,session_2,rest_2,NYU_2,1.1595192024,0.0641489482,0,0.0063987778,0,0.0107995168,0.5361843216
173,173,25006,session_1,rest_2,NYU_2,0.975331688,0.0653929409,0,0.0072698333,0,0.015956259,0.4608824924
172,172,25006,session_1,rest_1,NYU_2,1.0047250052,0.0607106252,0,0.0061649444,0,0.0134427452,0.4846634327
174,174,25006,session_2,rest_1,NYU_2,0.9845412879,0.0685077917,0,0.0066571111,0,0.0162354106,0.4942883755
178,178,25007,session_2,rest_2,NYU_2,1.0341999462,0.0411976219,0,0.0068453889,0,0.0129218217,0.4945522554
177,177,25007,session_2,rest_1,NYU_2,1.0614525744,0.0314345998,0,0.0063822778,0,0.0118845033,0.5087950501
176,176,25007,session_1,rest_2,NYU_2,1.0512675934,0.0341414632,0,0.0065738333,0,0.0120977796,0.5161304631
175,175,25007,session_1,rest_1,NYU_2,1.0673343782,0.0378841528,0,0.0065785,0,0.0124158991,0.5233337344
182,182,25008,session_2,rest_2,NYU_2,1.03949291,0.3748507718,11,0.0253358333,6.0773480663,0.0350772622,0.3386780814
180,180,25008,session_1,rest_2,NYU_2,1.0901814065,0.3587352104,14,0.0297607778,7.7348066298,0.0345421754,0.3744518637
179,179,25008,session_1,rest_1,NYU_2,0.9862755345,0.0585068196,0,0.0060100556,0,0.0106709339,0.5476826724
181,181,25008,session_2,rest_1,NYU_2,1.007039025,0.0557520223,0,0.0064553333,0,0.0108106586,0.5725855331
186,186,25009,session_2,rest_2,NYU_2,1.1091429655,0.1491030445,2,0.0106366667,1.1049723757,0.0191428561,0.3762806711
185,185,25009,session_2,rest_1,NYU_2,1.0928822699,0.1170784388,0,0.0065386111,0,0.0167115667,0.4059988526
183,183,25009,session_1,rest_1,NYU_2,1.0736501581,0.0882781375,0,0.0060637778,0,0.0176577906,0.4280097024
184,184,25009,session_1,rest_2,NYU_2,1.0850598163,0.1164724496,1,0.0062228333,0.5524861878,0.0163246861,0.4285441693
187,187,25010,session_1,rest_1,NYU_2,0.9780527966,0.3949491257,14,0.0233251667,7.7348066298,0.03421879,0.3325830947
189,189,25010,session_2,rest_1,NYU_2,1.103628144,0.2505151577,12,0.0178337222,6.6298342541,0.0163379579,0.4049464791
188,188,25010,session_1,rest_2,NYU_2,1.0269190785,0.1668400383,5,0.015108,2.7624309392,0.0184825646,0.4168251505
190,190,25010,session_2,rest_2,NYU_2,1.0573830359,0.1981372366,7,0.0086167222,3.8674033149,0.0119168349,0.4462580677
191,191,25011,session_1,rest_1,NYU_2,1.0257070794,0.0764409524,0,0.0072316667,0,0.0228943872,0.4257131849
192,192,25011,session_1,rest_2,NYU_2,0.9895990257,0.1010084561,0,0.0067928333,0,0.0209349706,0.467921165
194,194,25011,session_2,rest_2,NYU_2,1.1127855843,0.0628022185,0,0.0071222222,0,0.0157685289,0.4923669905
193,193,25011,session_2,rest_1,NYU_2,1.136718259,0.0610179756,0,0.0067674444,0,0.0159033594,0.4977412998
198,198,25012,session_2,rest_2,NYU_2,1.006921022,0.1200367214,3,0.0137006667,1.6574585635,0.0221677854,0.3730652439
196,196,25012,session_1,rest_2,NYU_2,1.0452535551,0.1463889271,7,0.0148935,3.8674033149,0.016956853,0.3967410159
195,195,25012,session_1,rest_1,NYU_2,1.0824324147,0.0428831033,0,0.0065995,0,0.0120255429,0.4757245007
197,197,25012,session_2,rest_1,NYU_2,1.0775993065,0.0823175219,0,0.0061560556,0,0.0120505041,0.4938953948
202,202,25013,session_2,rest_2,NYU_2,0.975374582,0.1077916398,1,0.0084109444,0.5524861878,0.0165020664,0.4662116612
200,200,25013,session_1,rest_2,NYU_2,0.976891294,0.073354736,0,0.0073768333,0,0.0152990413,0.475361453
201,201,25013,session_2,rest_1,NYU_2,0.921683393,0.0364012754,0,0.0060276111,0,0.0132968602,0.5155943525
199,199,25013,session_1,rest_1,NYU_2,0.9522906488,0.0316655521,0,0.0059728889,0,0.0104969861,0.5377847834
206,206,25014,session_2,rest_2,NYU_2,1.1490966399,0.0435586066,0,0.0064617222,0,0.0094511633,0.512845458
205,205,25014,session_2,rest_1,NYU_2,1.1218025077,0.0336447436,0,0.0060737222,0,0.0099970364,0.5167711964
203,203,25014,session_1,rest_1,NYU_2,1.0602570428,0.0438594738,0,0.0062482778,0,0.0099235952,0.5305043014
204,204,25014,session_1,rest_2,NYU_2,1.0902571718,0.032644684,0,0.0064008333,0,0.0084610196,0.5463911804
208,208,25015,session_1,rest_2,NYU_2,1.0703860706,0.1106216632,1,0.0088673333,0.5524861878,0.0186528939,0.4966514073
207,207,25015,session_1,rest_1,NYU_2,1.0795283602,0.0755891677,0,0.0063888333,0,0.0131757412,0.5527721375
209,209,25015,session_2,rest_1,NYU_2,1.0213363263,0.0586868872,0,0.0066517778,0,0.0126647382,0.5716476377
210,210,25015,session_2,rest_2,NYU_2,1.0369472892,0.0573781012,0,0.0072881111,0,0.0121551802,0.5744187936
211,211,25016,session_1,rest_1,NYU_2,0.8737128226,0.0885189331,1,0.0060795556,0.5524861878,0.0195171556,0.4183660162
