,subject,session,scan,site,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,fwhm_x,fwhm_y,fwhm_z,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std
1298,25545,session_2,anat_1,IPCAS_2,3.4884771743,3943413,6.5559419809,17.4003414795,164.0661912018,283512,40.1296700486,0.4082405554,580.4339660142,101.760238163,5886987,147.2436560668,6.3073766659,5.3902003213,6.3514026667,7.3294511327,268.0410519771,525943,40.7435978085,0.1214511389,15.5218332407,382.1166811645,447193,47.3048821998
1299,25546,session_1,anat_1,IPCAS_2,4.2499605478,4882829,9.3259655847,12.5646102409,178.655549471,284874,44.94220111,0.4261295612,390.4770691572,130.3710394913,4947571,155.1852253316,6.5703371681,5.6892831073,6.6887466667,7.4534933333,276.4180291356,619586,42.0885375369,0.1281134359,13.9793609902,393.595151828,515287,49.5227173044
1300,25546,session_2,anat_1,IPCAS_2,4.8760223588,4753627,9.1913217372,13.4110185778,180.5019912892,278965,44.8443855276,0.4305693619,389.3561182879,131.14827972,5076773,158.1711077691,6.5040147809,5.6833831075,6.4975573333,7.450528,282.5090540937,623751,43.5814852236,0.1403972167,14.2687073165,405.7740406666,510198,51.1887080951
1301,25547,session_1,anat_1,IPCAS_2,4.8258224129,3356329,6.3660614859,19.0925742066,178.9218402065,287859,46.4029053168,0.4321212706,538.6360479642,106.1292854986,6474071,152.0590120686,6.4283202182,5.7895081033,6.4093333333,7.158752,285.902287337,626449,43.4030132262,0.1636588666,16.6711059472,407.4467886609,514505,47.8616949909
1302,25547,session_2,anat_1,IPCAS_2,4.0355579435,4581636,6.88811848,18.363882992,179.4202250327,286625,48.1938209509,0.4348650446,696.4480492409,134.6233916669,5248764,162.2881596234,6.1036833815,5.4246164511,5.957856,7.0358506667,288.5751333513,617542,45.445736358,0.1418820701,19.5442909494,415.0677351528,512688,50.7807279204
1303,25548,session_1,anat_1,IPCAS_2,4.643032036,3667252,9.3158518035,12.680150763,182.1233954013,283560,45.3972393765,0.4200492917,340.2834725583,109.5461823263,6163148,157.8775515706,6.1014434905,5.4708497826,6.095392,6.8114773333,285.2886149968,571190,42.0051403545,0.1444686648,11.7591160354,403.4150203515,469989,46.7763241963
1304,25548,session_2,anat_1,IPCAS_2,3.9167214733,4450492,9.4443762987,11.8615250342,175.602612915,279458,41.1086915987,0.4176185149,367.9406742226,119.0920634243,5379908,156.0392314308,6.0951167808,5.3673164534,5.965088,7.0724693333,275.2308922549,568369,40.1924540967,0.1079500873,12.6098388774,387.2555981539,468458,44.3553800676
1305,25549,session_1,anat_1,IPCAS_2,4.7166196183,3886598,8.7757086662,12.4820927156,177.4095439671,266472,43.4203727951,0.4250416543,341.026408917,108.1171041751,5943802,149.0577914437,6.470455712,5.5851414447,6.7616213333,7.1733226667,273.3851378875,596537,41.3597021837,0.1518623742,12.3200425501,382.9243471039,502109,47.8119235825
1306,25549,session_2,anat_1,IPCAS_2,3.7785107177,4726171,8.9277862872,12.3414663829,171.1412475339,263063,41.6411075683,0.4189226567,393.181920612,120.1581647725,5104229,150.2231496279,6.4375745048,5.4996997815,6.5478186667,7.4085226667,267.392970832,586499,41.7564549934,0.119335716,13.458897974,377.5749451689,497437,48.4772168184
1307,25550,session_1,anat_1,IPCAS_3,2.0653842738,3974809,5.7600005544,21.4917692161,155.0888760083,207030,42.5938420543,0.4727685924,1731.4551553077,175.7945382198,4413799,184.1952054351,4.8487056775,3.7274735639,5.0575003015,6.04681,256.1149937196,471304,43.3212869989,0.0913772209,30.5198821701,379.9075963194,378091,46.8768835218
