"","uniqueid","subid","site","site.name","session","scan","efc","fber","fwhm","gsr","dvars","quality","global"
"1979","psychswu_chongqing_qiu_0025654_session_1_rest_1","0025654",36,"SWU 4",1,1,0.523918910248236,74.3505896913953,1.99074833047624,0.0219919664626158,0.93758244504799,0.0316682785123967,"All Sites"
"1980","psychswu_chongqing_qiu_0025655_session_1_rest_1","0025655",36,"SWU 4",1,1,0.488735134326842,102.567615617539,1.95138895456183,0.0153143726829917,0.976462556333597,0.0140565480165289,"All Sites"
"1981","psychswu_chongqing_qiu_0025656_session_1_rest_1","0025656",36,"SWU 4",1,1,0.506639517319913,98.1094831674176,1.84801164999145,0.0368202013534074,1.1675486281901,0.00625252892561983,"All Sites"
"1982","psychswu_chongqing_qiu_0025657_session_1_rest_1","0025657",36,"SWU 4",1,1,0.544157291483293,85.2458443006293,1.92103128408404,0.045109438318835,1.25160035993313,0.0112652774793388,"All Sites"
"1983","psychswu_chongqing_qiu_0025658_session_1_rest_1","0025658",36,"SWU 4",1,1,0.532095858826346,64.4468140740598,1.91098298218089,0.0434446034326879,1.26224982860726,0.0173849435950413,"All Sites"
"1984","psychswu_chongqing_qiu_0025659_session_1_rest_1","0025659",36,"SWU 4",1,1,0.498638259566707,111.262654294313,1.9339773974481,0.0286637705839356,0.922756174238416,0.0168088569834711,"All Sites"
"1985","psychswu_chongqing_qiu_0025660_session_1_rest_1","0025660",36,"SWU 4",1,1,0.522099852085236,97.6951831030204,2.11453188284545,0.025191041364978,1.00347175112717,0.0170835340909091,"All Sites"
"1986","psychswu_chongqing_qiu_0025661_session_1_rest_1","0025661",36,"SWU 4",1,1,0.48224041109012,94.6384077382033,1.92045539410019,0.0301766282699059,1.15505550749441,0.00573171582644628,"All Sites"
"1987","psychswu_chongqing_qiu_0025662_session_1_rest_1","0025662",36,"SWU 4",1,1,0.500097523522484,117.219730816214,1.87070736238383,0.0213712962856274,1.13602426421104,0.00819933628099174,"All Sites"
"1988","psychswu_chongqing_qiu_0025663_session_1_rest_1","0025663",36,"SWU 4",1,1,0.505518300824303,76.8229149411329,2.0121955097722,0.0249504667019278,1.09245874926289,0.00489550657024793,"All Sites"
"1989","psychswu_chongqing_qiu_0025664_session_1_rest_1","0025664",36,"SWU 4",1,1,0.510764360182007,98.4771157289858,1.79730573487227,0.0317623093892531,1.23900597735893,0.0100200878099173,"All Sites"
"1990","psychswu_chongqing_qiu_0025665_session_1_rest_1","0025665",36,"SWU 4",1,1,0.491176893423321,91.3030593537845,1.93783624577796,0.017461616362369,1.18060445031796,0.00389714363636363,"All Sites"
"1991","psychswu_chongqing_qiu_0025666_session_1_rest_1","0025666",36,"SWU 4",1,1,0.504775821097167,108.749205377523,1.89304574394679,0.0268550427962222,1.09546700581592,0.0188377571900827,"All Sites"
"1992","psychswu_chongqing_qiu_0025667_session_1_rest_1","0025667",36,"SWU 4",1,1,0.500436200493749,93.8196355492252,1.85054445446432,0.0282633205572723,1.225552054035,0.00569533842975206,"All Sites"
"1993","psychswu_chongqing_qiu_0025668_session_1_rest_1","0025668",36,"SWU 4",1,1,0.480589203477429,111.317785344986,1.89877846314167,0.0283130452307861,1.14848412853065,0.00643837706611571,"All Sites"
"1994","psychswu_chongqing_qiu_0025669_session_1_rest_1","0025669",36,"SWU 4",1,1,0.521168003973863,73.9277393710039,1.73558558041151,0.0391105189683696,1.16429330688891,0.0129939899173554,"All Sites"
