"","site","site.name","uniqueid","subid","session","scan","falff_50","reho_50","vmhc_50","falff_75","reho_75","vmhc_75","falff_90","reho_90","vmhc_90","falff_fwhm","reho_fwhm","vmhc_fwhm","falff_mean","reho_mean","vmhc_mean","global"
"3604",45,"UM","MONTREAL_org_0026177_session_2_rest_2","0026177",2,2,0.624310273677111,0.145109131932259,0.455587446689606,0.673971318174154,0.210046537220478,0.644745349884033,0.723632362671196,0.284891879558563,0.791429758071899,4.87943,13.1686,6.51258,0.629185394366579,0.162179410457611,0.42548480629921,"All Sites"
"3605",45,"UM","MONTREAL_org_0026178_session_1_rest_1","0026178",1,1,0.63652865961194,0.19824343174696,0.549796223640442,0.701628181617707,0.291645459830761,0.72687104344368,0.770344343734905,0.383167338371277,0.849262475967407,5.18326,14.0309,6.58909,0.645425820077035,0.217946320772171,0.488802820444107,"All Sites"
"3606",45,"UM","MONTREAL_org_0026178_session_1_rest_2","0026178",1,2,0.670525568770245,0.22999020665884,0.623833000659943,0.752025914145634,0.333019308745861,0.804577767848969,0.826117137214169,0.427551320195198,0.899247765541077,5.34092,13.7124,6.58099,0.682824711799622,0.247001796960831,0.544413387775421,"All Sites"
"3607",45,"UM","MONTREAL_org_0026178_session_2_rest_1","0026178",2,1,0.682102197781205,0.196279935538769,0.525868594646454,0.743781651835889,0.284172706305981,0.727565288543701,0.801832902710885,0.362823814153671,0.849866449832916,5.26573,13.2,6.63796,0.686458638878842,0.211340859532356,0.477142661809921,"All Sites"
"3608",45,"UM","MONTREAL_org_0026178_session_2_rest_2","0026178",2,2,0.666922992328182,0.214235201478004,0.524554252624512,0.736166363116354,0.300356715917587,0.712822318077087,0.801765345968306,0.378583461046219,0.846003949642182,5.4786,13.0984,6.78575,0.677214394993295,0.225505143404007,0.476462960243225,"All Sites"
"3609",45,"UM","MONTREAL_org_0026179_session_1_rest_1","0026179",1,1,0.660922071430832,0.206443823873997,0.539226174354553,0.713937210850418,0.281956940889359,0.715806066989899,0.766952350270003,0.348271077871323,0.830608129501343,4.9505,12.9156,6.49577,0.665689906355249,0.215052306652069,0.47936338186264,"All Sites"
"3610",45,"UM","MONTREAL_org_0026179_session_1_rest_2","0026179",1,2,0.639175774762407,0.171265065670013,0.467145353555679,0.685596361756325,0.237770959734917,0.654196262359619,0.73558776313439,0.303869217634201,0.790704607963562,4.56245,12.4529,6.48769,0.645108002605483,0.181779384613037,0.429238349199295,"All Sites"
"3611",45,"UM","MONTREAL_org_0026179_session_2_rest_1","0026179",2,1,0.688246714882553,0.227387681603432,0.572885870933533,0.754142676945776,0.316671699285507,0.756542980670929,0.816377752227709,0.388532185554504,0.867843341827393,5.17172,13.354,6.51424,0.694944077152407,0.233307212591171,0.506367087364197,"All Sites"
"3612",45,"UM","MONTREAL_org_0026179_session_2_rest_2","0026179",2,2,0.675935838371515,0.205490939319134,0.536546587944031,0.733462292701006,0.28666165471077,0.718235850334167,0.790988747030497,0.352910006046295,0.842146098613739,5.08174,12.4519,6.45729,0.681423748143951,0.214716851711273,0.478137671947479,"All Sites"
"3613",45,"UM","MONTREAL_org_0026180_session_1_rest_1","0026180",1,1,0.645942881237715,0.150581657886505,0.40162268280983,0.700376270106062,0.220831722021103,0.616629898548126,0.769325229339302,0.291569173336029,0.781878662109375,5.16897,12.5039,6.46728,0.654480354789269,0.166951090097427,0.390596926212311,"All Sites"
"3614",45,"UM","MONTREAL_org_0026180_session_1_rest_2","0026180",1,2,0.645351531449705,0.174146980047226,0.469765365123749,0.709177507087588,0.258118242025375,0.671873047947884,0.773003482725471,0.334302979707718,0.814184308052063,5.10776,12.939,6.46011,0.655294700134697,0.190085873007774,0.43587863445282,"All Sites"
"3615",45,"UM","MONTREAL_org_0026180_session_2_rest_1","0026180",2,1,0.629019528627396,0.15266552567482,0.395237147808075,0.682629147544503,0.222143411636353,0.595634043216705,0.750534664839506,0.292170694470406,0.76096522808075,5.13771,12.275,6.43873,0.635446867966073,0.1684700101614,0.383297294378281,"All Sites"
"3616",45,"UM","MONTREAL_org_0026180_session_2_rest_2","0026180",2,2,0.656607426702976,0.160187013447285,0.396251708269119,0.714650072157383,0.23129004612565,0.599410831928253,0.77269271761179,0.302624291181564,0.777475237846375,4.91466,12.0703,6.29914,0.665944146677186,0.17539244890213,0.386193990707398,"All Sites"
"3617",45,"UM","MONTREAL_org_0026181_session_1_rest_1","0026181",1,1,0.625418171053752,0.185718461871147,0.546502232551575,0.673793057212606,0.254836060106754,0.718735262751579,0.72216794337146,0.323876684904098,0.835324019193649,4.72655,13.0349,6.53154,0.630933099147479,0.195267900824547,0.486351519823074,"All Sites"
"3618",45,"UM","MONTREAL_org_0026181_session_1_rest_2","0026181",1,2,0.629835826111957,0.184776559472084,0.529919505119324,0.683821754064411,0.251553863286972,0.703260585665703,0.745005805743858,0.319938510656357,0.829552829265594,5.04076,12.5939,6.52251,0.636958204961004,0.196048408746719,0.479178875684738,"All Sites"
"3619",45,"UM","MONTREAL_org_0026181_session_2_rest_1","0026181",2,1,0.660944916307926,0.202642880380154,0.557882070541382,0.716023659333587,0.272074438631535,0.724962949752808,0.771102402359247,0.336317810416222,0.849425733089447,4.6209,12.1366,6.61225,0.667957660072503,0.210076004266739,0.493882298469543,"All Sites"
"3620",45,"UM","MONTREAL_org_0026181_session_2_rest_2","0026181",2,2,0.646272314013913,0.192333206534386,0.539701819419861,0.700429211836308,0.265819445252419,0.713866829872131,0.75819656951353,0.339218032360077,0.837524592876434,4.8014,13.2861,6.52303,0.654665527541155,0.206407070159912,0.484793663024902,"All Sites"
