"","site","site.name","uniqueid","subid","session","scan","snr","cnr","fber","efc","qi1","fwhm","global"
"3181",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027218_session_2_anat_1","0027218",2,1,43.9053115844727,16.1380004882812,1992.39394208091,0.570276407315025,0.155701518337045,3.48187,"All Sites"
"3182",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027218_session_2_anat_1","0027218",2,1,37.5564231872559,13.8383846282959,1423.09681523732,0.488445334451816,0.0586456290263466,3.37297,"All Sites"
"3184",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027218_session_3_anat_1","0027218",3,1,37.4990234375,14.1181907653809,1431.15049384419,0.491392436260112,0.0783363364171268,3.37384,"All Sites"
"3185",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027218_session_3_anat_1","0027218",3,1,45.6967391967773,16.538143157959,2073.05215664977,0.575099060602032,0.218200071424077,3.45054,"All Sites"
"3187",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027219_session_1_anat_1","0027219",1,1,76.6594848632812,28.9011383056641,4811.98865169766,0.442351574564763,0.074037987195669,3.58645,"All Sites"
"3188",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027219_session_1_anat_1","0027219",1,1,71.8513259887695,27.3184623718262,4301.26253551049,0.44366273862551,0.0731143536605833,3.55098,"All Sites"
"3190",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027219_session_2_anat_1","0027219",2,1,78.1201248168945,29.5303649902344,5061.42883119352,0.439650394653365,0.0670130642552512,3.61315,"All Sites"
"3191",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027219_session_2_anat_1","0027219",2,1,76.5520706176758,29.0799598693848,4852.02428480104,0.442225723780089,0.0666250954311422,3.59803,"All Sites"
"3193",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027219_session_3_anat_1","0027219",3,1,78.0965576171875,29.5073528289795,5032.40530207191,0.443451137128808,0.0712667133806277,3.5684,"All Sites"
"3194",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027219_session_3_anat_1","0027219",3,1,89.4083938598633,33.9336547851562,6251.27318933779,0.444586966856796,0.0712458818123626,3.56554,"All Sites"
"3196",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027220_session_1_anat_1","0027220",1,1,56.3778419494629,19.8738193511963,2801.57435755914,0.419172518038763,0.0490906838468462,3.57866,"All Sites"
"3197",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027220_session_1_anat_1","0027220",1,1,51.1451377868652,18.0022640228271,2317.19988711956,0.418979679403135,0.0479844243510694,3.58098,"All Sites"
"3199",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027220_session_2_anat_1","0027220",2,1,46.3763656616211,16.3381309509277,1928.38792376351,0.419151270373184,0.0543353781910669,3.62064,"All Sites"
"3200",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027220_session_2_anat_1","0027220",2,1,55.8155784606934,19.1732978820801,2735.88271608474,0.418655080666548,0.073889723975918,3.59072,"All Sites"
"3202",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027220_session_3_anat_1","0027220",3,1,55.2188835144043,19.150707244873,2663.24001040782,0.421100061201381,0.0517003138099921,3.57701,"All Sites"
"3203",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027220_session_3_anat_1","0027220",3,1,46.0060958862305,15.8598232269287,1915.37136512961,0.421085108214603,0.0493590365583506,3.57249,"All Sites"
"3205",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027221_session_1_anat_1","0027221",1,1,70.9215698242188,25.2520961761475,4191.68126132805,0.421784685881776,0.072137289642146,3.45531,"All Sites"
"3206",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027221_session_1_anat_1","0027221",1,1,70.1867752075195,24.5496673583984,4147.68560747964,0.422524373266195,0.0687613827845742,3.43269,"All Sites"
"3208",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027221_session_2_anat_1","0027221",2,1,71.263427734375,25.8578968048096,4221.84563107263,0.421630291591121,0.0627569137985291,3.46424,"All Sites"
"3209",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027221_session_2_anat_1","0027221",2,1,71.5832138061523,25.8500518798828,4337.13128310094,0.421414646905776,0.0602833902330693,3.43214,"All Sites"
"3211",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027221_session_3_anat_1","0027221",3,1,71.0391616821289,26.0036010742188,4226.60433133937,0.422909910711498,0.0655235048076122,3.42669,"All Sites"
"3212",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027221_session_3_anat_1","0027221",3,1,83.686882019043,29.9426708221436,5712.73975957181,0.421576810860627,0.0724853930221426,3.46162,"All Sites"
"3214",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027222_session_1_anat_1","0027222",1,1,58.9052696228027,21.5358543395996,3130.54860629895,0.535720177002883,0.185026979231052,3.18293,"All Sites"
"3215",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027222_session_1_anat_1","0027222",1,1,53.0470123291016,19.3438129425049,2664.82021746477,0.535462359771444,0.200928467332594,3.14283,"All Sites"
"3217",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027222_session_2_anat_1","0027222",2,1,55.9979248046875,20.2934951782227,2902.76321051477,0.53206381107201,0.183520454617618,3.23042,"All Sites"
"3218",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027222_session_2_anat_1","0027222",2,1,45.152660369873,16.3746395111084,2024.99324442243,0.521960295857881,0.186851677973722,3.16251,"All Sites"
"3220",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027222_session_3_anat_1","0027222",3,1,53.2018241882324,19.782169342041,2954.89992075232,0.523316807950883,0.178190029642637,3.20525,"All Sites"
"3221",52,"SWU 1","PSYCHSWU_Chongqing_Chen_0027222_session_3_anat_1","0027222",3,1,57.8842315673828,21.6995620727539,3156.28891495409,0.517557195566691,0.159021573137977,3.17769,"All Sites"
