"","subject","site","site.name","session","scan","falff_50","falff_75","falff_90","falff_fwhm","falff_mean","reho_50","reho_75","reho_90","reho_fwhm","reho_mean","vmhc_50","vmhc_75","vmhc_90","vmhc_fwhm","vmhc_mean","global"
"391","0025060","24","NYU 2","2","2",0.602399408817291,0.620520204305649,0.640435349941254,7.05203,0.590132296085358,0.102571360766888,0.137693889439106,0.177105203270912,12.2078,0.11224677413702,0.360612362623215,0.551255166530609,0.715772223472596,6.32189,0.355537623167038,"All Sites"
"392","0025061","24","NYU 2","1","1",0.600064992904663,0.620888948440552,0.639190316200256,7.37065,0.585583448410034,0.154021993279457,0.194064781069756,0.235874176025391,15.8809,0.157335489988327,0.633068859577179,0.801340341567993,0.883693277835846,6.85038,0.537668824195862,"All Sites"
"393","0025061","24","NYU 2","1","2",0.593630939722061,0.611806973814964,0.629018139839172,7.2581,0.579009771347046,0.209483474493027,0.264109142124653,0.2979029327631,14.1731,0.209511563181877,0.727427005767822,0.864969432353973,0.92455005645752,6.52455,0.604194700717926,"All Sites"
"394","0025061","24","NYU 2","2","2",0.603165864944458,0.62356048822403,0.64527667760849,7.04124,0.592635571956635,0.0875895768404007,0.119514793157578,0.151328340172768,12.8372,0.0963779240846634,0.318240821361542,0.519782721996307,0.684773623943329,6.41437,0.326292514801025,"All Sites"
"395","0025061","24","NYU 2","2","1",0.600328475236893,0.617455363273621,0.636158645153046,7.07304,0.587399482727051,0.0715973787009716,0.0956645123660564,0.123796209692955,12.4468,0.0801582261919975,0.208749294281006,0.390939354896545,0.575993692874909,6.22604,0.240782901644707,"All Sites"
"396","0025062","24","NYU 2","1","1",0.598845958709717,0.616018176078796,0.633217310905457,7.17276,0.583771467208862,0.083205483853817,0.112049624323845,0.143796062469482,12.6645,0.0920734405517578,0.266333028674126,0.442256659269333,0.623154580593109,6.54048,0.28388899564743,"All Sites"
"397","0025062","24","NYU 2","1","2",0.599859625101089,0.617755442857742,0.635699194669723,7.15605,0.585190296173096,0.0914087817072868,0.120598677545786,0.151303185522556,12.3639,0.0984349548816681,0.293495193123817,0.471796929836273,0.63148444890976,6.38189,0.302657872438431,"All Sites"
"398","0025063","24","NYU 2","1","2",0.593927383422852,0.612085282802582,0.629591703414917,7.08916,0.580242872238159,0.0921202301979065,0.119547538459301,0.150586158037186,12.812,0.0999674648046494,0.295740008354187,0.481334239244461,0.652145206928253,6.04728,0.307065427303314,"All Sites"
"399","0025063","24","NYU 2","1","1",0.613997995853424,0.636847391724586,0.659968197345734,7.30333,0.601295471191406,0.129463173449039,0.160914141684771,0.190616612136364,11.7116,0.133085504174232,0.490510106086731,0.666230350732803,0.793669700622559,6.09775,0.448986381292343,"All Sites"
"400","0025064","24","NYU 2","1","2",0.598763585090637,0.617009624838829,0.636404931545258,7.25908,0.585990190505981,0.0971539355814457,0.131058562546968,0.167058110237122,12.6764,0.106473043560982,0.308828234672546,0.498374313116074,0.669754469394684,6.69954,0.320753216743469,"All Sites"
"401","0025064","24","NYU 2","1","1",0.603892683982849,0.622004419565201,0.64069447517395,7.28288,0.591010093688965,0.0977264381945133,0.134799167513847,0.174453985691071,13.2657,0.108758322894573,0.329155445098877,0.527404963970184,0.697988629341125,6.83593,0.335958540439606,"All Sites"
