"","site","site.name","uniqueid","subid","session","scan","MeanFD","PercentFD_greater_than_0.20","global"
"105",4,"BMB","Berlin_0003060_session_1_rest_1","0003060",1,1,0.1289,16.9154,"All Sites"
"106",4,"BMB","Berlin_0003060_session_1_rest_2","0003060",1,2,0.0967,2.9851,"All Sites"
"107",4,"BMB","Berlin_0003061_session_1_rest_1","0003061",1,1,0.0489,0.995,"All Sites"
"108",4,"BMB","Berlin_0003061_session_1_rest_2","0003061",1,2,0.0618,2.4876,"All Sites"
"109",4,"BMB","Berlin_0003062_session_1_rest_1","0003062",1,1,0.1435,17.4129,"All Sites"
"110",4,"BMB","Berlin_0003062_session_1_rest_2","0003062",1,2,0.0875,2.4876,"All Sites"
"111",4,"BMB","Berlin_0003062_session_1_rest_3","0003062",1,3,0.1046,6.4677,"All Sites"
"112",4,"BMB","Berlin_0003062_session_1_rest_4","0003062",1,4,0.1173,14.9254,"All Sites"
"113",4,"BMB","Berlin_0003063_session_1_rest_1","0003063",1,1,0.1287,7.9602,"All Sites"
"114",4,"BMB","Berlin_0003063_session_1_rest_2","0003063",1,2,0.1489,20.398,"All Sites"
"115",4,"BMB","Berlin_0003063_session_1_rest_3","0003063",1,3,0.1539,19.9005,"All Sites"
"116",4,"BMB","Berlin_0003063_session_1_rest_4","0003063",1,4,0.1137,8.9552,"All Sites"
"117",4,"BMB","Berlin_0003064_session_1_rest_1","0003064",1,1,0.0788,0.995,"All Sites"
"118",4,"BMB","Berlin_0003064_session_1_rest_2","0003064",1,2,0.0926,1.4925,"All Sites"
"119",4,"BMB","Berlin_0003064_session_1_rest_3","0003064",1,3,0.0883,0.995,"All Sites"
"120",4,"BMB","Berlin_0003064_session_1_rest_4","0003064",1,4,0.1011,4.4776,"All Sites"
"121",22,"NKI 1","NKI_TRT_0021001_session_1_rest_645_1","0021001",1,645,0.1623,24.6393,"All Sites"
"122",22,"NKI 2","NKI_TRT_0021001_session_1_rest_1400_1","0021001",1,1400,0.3718,76.7901,"All Sites"
"123",22,"NKI 3","NKI_TRT_0021001_session_1_rest_2500_1","0021001",1,2500,0.0981,9.9174,"All Sites"
