"","subject","session","site","anat_cnr","anat_efc","anat_fber","anat_fwhm","anat_qi1","anat_snr"
"665","0025474",2,"IACAS","6.52703332901001","0.3983989338906664","1001.8803003350163","3.12185","0.14424667792890855","33.07323455810547"
"667","0025475",1,"IACAS","9.19157600402832","0.39373591618810383","1431.6080744781339","3.1714900000000004","0.1380661685237042","36.577449798583984"
"666","0025475",2,"IACAS","7.576334476470947","0.3979679418029993","784.2484171672862","3.15192","0.11886256927370388","26.508642196655273"
"669","0025476",1,"IACAS","4.816096305847168","0.3910001435802919","545.5603625675686","3.09","0.1524484196819448","23.86081695556641"
"668","0025476",2,"IACAS","7.398823261260986","0.3974453788061788","1103.5408846125206","3.0681700000000003","0.15363782650304733","32.92388153076172"
"671","0025477",1,"IACAS","11.9548921585083","0.3781978913426333","2701.760234562549","3.01897","0.1250498050120874","51.15942001342773"
"670","0025477",2,"IACAS","11.159760475158693","0.3841356094801752","2395.0665783342497","3.0409","0.13314534087669413","48.58714294433594"
"673","0025478",1,"IACAS","6.219052791595459","0.3803092516804981","885.7538014377278","2.85036","0.15264509787557606","30.07710266113281"
"672","0025478",2,"IACAS","8.092784881591799","0.3837360633941295","1363.9164619155256","2.8957","0.1470419554845051","37.60515594482422"
"675","0025479",1,"IACAS","9.01394271850586","0.4077227263114264","1638.716014638329","3.0632900000000003","0.15811880562799938","40.678932189941406"
"674","0025479",2,"IACAS","9.177644729614258","0.40493993800296413","1577.7147103998416","2.99275","0.1542739446943628","39.0793342590332"
"677","0025480",1,"IACAS","11.34498691558838","0.42891903302152384","2144.8970023698416","3.1181200000000002","0.14651457741480975","46.50239181518555"
"676","0025480",2,"IACAS","13.408137321472168","0.4313930816202263","3083.4716117815105","3.0515","0.13886995193553636","57.33422088623047"
"679","0025481",1,"IACAS","8.558628082275389","0.4041843485415221","1169.3729770720454","2.9072400000000003","0.1874268700889431","35.48081588745117"
"678","0025481",2,"IACAS","7.487789630889893","0.3966165450830617","1112.8307525658447","3.02813","0.15769527129385702","33.44085693359375"
"681","0025482",1,"IACAS","10.541878700256348","0.41959692548890265","2369.9356062869697","2.9744099999999998","0.14723294546920293","49.54662704467773"
"680","0025482",2,"IACAS","10.05259609222412","0.4191521847208947","2006.0993307158044","3.02608","0.1587073493887256","45.24949645996094"
"683","0025483",1,"IACAS","12.40806484222412","0.4311611302742955","2937.3647610476887","3.05228","0.14515009052353087","56.153602600097656"
"682","0025483",2,"IACAS","11.796215057373047","0.4255370199070519","2362.615988620351","2.99251","0.15097132024299814","50.005226135253906"
"685","0025484",1,"IACAS","9.148293495178224","0.4641705140181795","1685.1695402729822","3.0924","0.17368086177740133","42.95041275024414"
