subject,bg_mean,bg_size,bg_std,cnr,csf_mean,csf_size,csf_std,efc,fber,fg_mean,fg_size,fg_std,fwhm,gm_mean,gm_size,gm_std,qi1,snr,wm_mean,wm_size,wm_std,site
0025183_session_1,3.073338031768799,6707015.0,9.992609977722168,9.275259971618652,63.01163101196289,4385.0,98.29700469970705,0.392123644667688,139.22755789601104,108.94989013671876,1681593.0,62.40167999267578,3.6889999999999996,114.43016815185548,267636.0,16.736343383789062,0.07352630044811291,11.4514799118042,207.11422729492188,57078.0,14.688369750976562,NYU_2
0025184_session_1,2.6381828784942627,6476097.0,8.260744094848633,11.238765716552734,48.60122680664063,4722.0,52.81240463256836,0.4051869559988797,191.2331507710033,104.7423095703125,1912511.0,63.70431900024414,3.56457,112.36956024169922,271159.0,16.500980377197266,0.04052672466147434,13.602837562561035,205.2101287841797,58650.0,15.176519393920898,NYU_2
0025185_session_1,2.834796905517578,6592361.0,8.231475830078125,13.660526275634766,62.92790985107422,4536.0,88.87734985351562,0.3995918109512821,246.92237371244815,119.53630065917969,1796247.0,68.44081878662111,3.44467,118.61338806152344,270406.0,16.945327758789062,0.046795374221769714,14.409735679626465,231.05967712402344,60472.0,11.771562576293945,NYU_2
0025186_session_1,2.6577155590057373,6709402.0,7.996501445770264,11.306815147399902,40.30967330932617,5396.0,55.41529083251953,0.3920396600023521,179.25312052034008,100.54458618164062,1679206.0,56.8725471496582,3.4758,101.60133361816406,312677.0,16.042388916015625,0.05331130851900065,12.70572280883789,192.01629638671875,65005.0,11.866689682006836,NYU_2
0025004_session_2,2.479097604751587,6486781.0,7.572725296020508,8.838796615600586,36.18097305297852,6139.0,49.82215118408203,0.4142045077454022,132.58369236081793,80.57328796386719,1901827.0,47.49950790405274,3.88075,86.65866088867188,298343.0,13.518721580505373,0.0598864059076451,11.443523406982422,153.59243774414062,65669.0,12.154257774353027,NYU_2
0025005_session_1,1.4809846878051758,6596185.0,4.227065086364746,18.045825958251953,34.361759185791016,3682.0,45.13091278076172,0.38781441042778936,422.5019989950722,79.80873107910156,1792423.0,47.34640884399414,3.5246800000000005,84.28115844726562,263589.0,13.452467918395994,0.03552796048018665,19.938457489013672,160.56204223632812,54656.0,8.516375541687013,NYU_2
0025006_session_1,2.603854894638061,6596885.0,6.0353450775146475,12.52904224395752,43.991432189941406,3969.0,45.06547164916992,0.4106510295920846,213.02458723448632,85.4595947265625,1791723.0,48.44953918457031,3.55743,89.76606750488281,225115.0,13.470890045166016,0.08403587450743798,14.873394012451172,165.38316345214844,58349.0,11.63732624053955,NYU_2
0025000_session_1,1.3492788076400757,6466299.0,3.6774418354034415,20.372459411621094,35.52999496459961,4734.0,47.95060348510742,0.3994663434776301,490.65156489567937,76.28173828125,1922309.0,45.32863998413086,3.7362800000000003,84.86087036132812,268306.0,12.686807632446287,0.030418791336435262,23.076061248779297,159.77940368652344,48497.0,9.352598190307617,NYU_2
0025000_session_2,1.6201214790344238,6571253.0,4.7901573181152335,15.766010284423828,37.10807418823242,4867.0,53.21287155151367,0.3933887173871733,298.4014164935312,76.70867919921875,1817355.0,45.47729873657226,3.72884,84.16807556152344,262576.0,13.878891944885256,0.04206610215738155,17.571046829223633,159.6897430419922,49175.0,9.558162689208984,NYU_2
0025004_session_1,2.5866618156433105,6603689.0,8.107625961303711,9.268412590026855,38.11199951171875,5259.0,56.99162673950195,0.4041351823783783,120.27784223495743,82.16812133789062,1784919.0,48.16838455200195,3.81397,86.12181091308594,293687.0,14.63996124267578,0.05942087823942041,10.622322082519533,161.26663208007812,64853.0,11.075915336608887,NYU_2
0025056_session_2,2.416628837585449,6297013.0,6.48070764541626,11.643941879272461,45.46746444702149,5425.0,47.64229202270508,0.4242094639567229,215.78196620231643,88.03350830078125,2091595.0,54.08693313598633,4.04256,105.2357940673828,236295.0,16.869770050048828,0.06216201236999192,16.238317489624027,180.69677734375,64548.0,10.746971130371094,NYU_2
0025005_session_2,1.464741349220276,6430881.0,4.367403507232666,16.875539779663086,34.225460052490234,4391.0,42.67236709594727,0.4003224522004668,435.44795505789864,82.48929595947266,1957727.0,50.13691329956055,3.61091,90.58377838134766,264853.0,13.71111297607422,0.04357272355063015,20.740877151489254,164.28607177734375,55329.0,11.724465370178224,NYU_2
0025057_session_2,1.5747318267822266,6528520.0,5.78403377532959,11.90837574005127,35.26148223876953,4681.0,42.92007827758789,0.388548777432995,229.4835883865098,78.30699920654297,1860088.0,48.99948501586914,3.99479,93.9030303955078,230407.0,14.709745407104492,0.04118605748316617,16.234869003295902,162.78147888183594,51097.0,10.410245895385742,NYU_2
0025003_session_1,1.8742707967758176,6625246.0,5.288330078125,14.863126754760742,46.8448486328125,3835.0,47.36362838745117,0.38977012510590014,292.5017826180124,84.4739990234375,1763362.0,50.33487319946289,3.6671400000000003,92.5196533203125,210524.0,14.209269523620605,0.06742934526506639,17.495059967041016,171.1207733154297,54790.0,11.753249168395994,NYU_2
0025058_session_2,2.2405905723571777,6685830.0,6.57426118850708,12.070272445678713,33.100547790527344,4555.0,43.94935989379883,0.39235001375278505,187.97385291699618,83.78349304199219,1702778.0,48.57989883422852,3.5564400000000003,85.51534271240234,277104.0,14.199134826660154,0.07439510128136671,13.007596969604492,164.86846923828125,58137.0,9.72225284576416,NYU_2
0025058_session_1,5.696859836578369,6616554.0,16.599700927734375,10.707661628723145,87.13858032226562,5181.0,107.45519256591795,0.4021484307177358,159.75858879092718,193.6338653564453,1772054.0,112.88861846923828,3.6722099999999998,201.23199462890625,281497.0,31.5230655670166,0.08467579951739229,12.12262725830078,378.9759826660156,57917.0,25.570201873779297,NYU_2
